"vcidw","kziyh"
"fs","fs"
"za","a"
"sts","sts"
"qtff","ektla"
"f","p"
"lh","nkem"
"ukfjp","fjp"
"mcxsn","plblo"
"ace","aceg"
"fs","luyq"
"vv","vvp"
"gr","gr"
"fnw","ww"
"yigyb","fvskk"
"o","o"
"ol","grqtw"
"o","o"
"hyll","nujki"
"bypk","ypaql"
"eygo","l"
"b","b"
"a","pde"
"zeeq","nzrhh"
"f","f"
"cqhin","t"
"cy","opu"
"la","ak"
"g","g"
"zuq","wkeqt"
"eehs","qw"
"msgzn","s"
"wo","qz"
"g","lwi"
"pam","zuz"
"yc","a"
"j","j"
"sjfh","sjfhxje"
"vvs","vsrkx"
"hikij","p"
"ol","d"
"ew","wr"
"ak","a"
"zr","pc"
"li","limvh"
"rxahaq","ahaq"
"d","dj"
"rl","qdg"
"sfko","vycj"
"x","xz"
"g","vke"
"fanzz","zzvg"
"a","a"
"k","k"
"lbcaq","gmj"
"sivk","vkw"
"wmro","z"
"jbubmp","p"
"eopa","opay"
"tj","tj"
"pjhlp","u"
"jovob","u"
"e","exvy"
"jqc","c"
"teknow","teknow"
"o","dbel"
"jcg","cgs"
"m","w"
"q","q"
"liuq","liuqhz"
"m","mqmklu"
"ed","zkkz"
"j","jb"
"fa","fa"
"i","ih"
"ssgvf","zhr"
"vy","y"
"ikr","rmjk"
"ogm","gmr"
"k","k"
"jol","jjvav"
"k","rl"
"uq","q"
"o","nc"
"qrfny","vh"
"c","jpyd"
"nnstu","tub"
"gaom","js"
"anc","z"
"qu","u"
"fca","ca"
"lghg","lghgfbv"
"qrcb","qrcbpe"
"y","ca"
"buiio","uiio"
"b","bpk"
"yjftg","jftggm"
"tr","c"
"pej","pejsl"
"in","ixa"
"pi","i"
"afav","tv"
"l","lghs"
"s","s"
"p","pp"
"vjf","c"
"ll","gwki"
"kj","wd"
"ztl","l"
"tb","e"
"zk","vb"
"y","yzws"
"jmcog","t"
"uyx","b"
"jyf","yf"
"bhoji","bb"
"j","jj"
"gs","gsk"
"frcr","nenbx"
"ap","i"
"wnr","wnr"
"ps","uc"
"in","o"
"tg","tg"
"o","oc"
"o","ht"
"aub","gjw"
"t","tcb"
"nimashd","imashd"
"w","w"
"ad","d"
"t","x"
"fv","zjha"
"g","upy"
"z","o"
"hwte","cgoa"
"owc","petwj"
"w","s"
